Name,Brand,Description,Notes,Image URL,Description_clean,Notes_clean
Sel Marin Eau de Parfum,HEELEY,"Both breezy and aquatic, Sel Marin perfectly captures an early summer's day spent at a quiet cove, a place absent of all fruity tropical oil smells and distractions when the only thing to concentrate on is the refreshing water, the soft sand and the salty sea air. A fleeting note of lemon opens this perfume only to be overtaken by a gentle wind carrying hints from the woods towering above the sea cliffs. The drift woods of cedar and birch dry in the blazing sun while vetiver and seaweed blend earth and ocean. Effortless and relaxing, Sel Marin is the perfect cure-all for a rainy day and a natural complement to a day spent walking in the sand.","lemon, bergamot, sea salt, seaweed, vetiver, birch, cedar",https://static.luckyscent.com/images/products/31510.jpg?width=400&404=product.png,breezy aquatic sel marin perfectly captures early summer's day spent quiet cove place absent fruity tropical oil smells distractions thing concentrate refreshing water soft sand salty sea air fleeting note lemon opens perfume overtaken gentle wind carrying hints woods towering sea cliffs drift woods cedar birch dry blazing sun vetiver seaweed blend earth ocean effortless relaxing sel marin perfect cure rainy day natural complement day spent walking sand,"lemon, bergamot, sea salt, seaweed, vetiver, birch, cedar"
21 Eau de Parfum,Costume National,"Created in honor of the 21st anniversary of Costume National, 21 pays homage to the luxurious simplicity that can be found in the hypermodern and timeless creations of this Italian fashion house. 21, an alluring blend of understatement and sensuality, captures 21 favorite scents of the designer Ennio Capasa. The intriguing list of notes features milk and orange blossom, saffron and cumin, royal jelly and oud, moss and vanilla. Creamy, dreamy, enveloping, 21 is an olfactory vision in white. The tender floral top notes dissolve into the soft spiciness of the heart, where saffron mixes with patchouli, oud and olibanum in an accord of astounding depth and opulence. The sweet darkness of the base notes of tonka bean, vanilla and musk is the very epitome of comfort. At once astonishingly sensual and beautifully tranquil, 21 is destined to become a new cult favorite.","bergamot, milk, orange blossoms, saffron, cumin, pepper, cashmere wood, royal jelly, moss, clary sage, patchouli, olibanum, amber, sandalwood, oud wood, cedar, vetiver, labdanum, tonka bean, vanilla musk",https://static.luckyscent.com/images/products/25804.jpg?width=400&404=product.png,created honor st anniversary costume national pays homage luxurious simplicity found hypermodern timeless creations italian fashion house alluring blend understatement sensuality captures favorite scents designer ennio capasa intriguing list notes features milk orange blossom saffron cumin royal jelly oud moss vanilla creamy dreamy enveloping olfactory vision white tender floral top notes dissolve soft spiciness heart saffron mixes patchouli oud olibanum accord astounding depth opulence sweet darkness base notes tonka bean vanilla musk epitome comfort astonishingly sensual beautifully tranquil destined become new cult favorite,"bergamot, milk, orange blossoms, saffron, cumin, pepper, cashmere wood, royal jelly, moss, clary sage, patchouli, olibanum, amber, sandalwood, oud wood, cedar, vetiver, labdanum, tonka bean, vanilla musk"
Jubilation 25 Eau de Parfum,Amouage,"Undeniably beautiful and supremely elegant â Jubilation 25 recalls the classic French scents of the past without ever losing its own exotic sense of identity. A tendril of incense weaves through exquisite rose, fruity davana and spicy amber, keeping this very true to its Eastern roots. But no mere listing of notes can really give you a sense of what this is like and for once adjectives fail us. It is one of those fragrances where the notes really work as chords â you can't pick out the tarragon or the ylang ylang or the patchouli because it is all blended together so artfully that it becomes something else entirely.The effect of all this intricate harmony is ladylike and lovely and perfectly suitable for an updo and pearls. And yet-- there is a hint of growl underneath all of this refinement, an insistent spiciness that makes you think that any minute the hair might come down and the top buttons might be undone and something wild might happen that would never be spoken of again. Discretely sensuous and truly compelling.","tarragon, lemon, ylang-ylang, rock rose, frankincense, davana, labdanum ciste, patchouli, amber, vetiver, musk, myrrh",https://static.luckyscent.com/images/products/41800.jpg?width=400&404=product.png,undeniably beautiful supremely elegant jubilation recalls classic french scents past without ever losing exotic sense identity tendril incense weaves exquisite rose fruity davana spicy amber keeping true eastern roots mere listing notes really give sense like adjectives fail us one fragrances notes really work chords can't pick tarragon ylang ylang patchouli blended together artfully becomes something else entirely effect intricate harmony ladylike lovely perfectly suitable updo pearls yet hint growl underneath refinement insistent spiciness makes think minute hair might come top buttons might undone something wild might happen would never spoken discretely sensuous truly compelling,"tarragon, lemon, ylang-ylang, rock rose, frankincense, davana, labdanum ciste, patchouli, amber, vetiver, musk, myrrh"
Incense Rose Eau de Parfum,Tauer Perfumes,"The most beautiful thing we can experience is the mysterious', said Einstein. Andy Tauer's new creation, Incense Rose, brings that feeling of awe and wonder into our lives. Built upon the contrast of fiery frankincense and sweet rose, of masculine and feminine, of night and day, it is a mesmerizing blend, deep and sensual. Citrus notes and a hint of cardamom lend the rose a ripe, spicy quality, whereas orris gives the scent an effervescent, sparkling feel. The woody and balsamic notes of cedar, vetiver, patchouli, myrrh and labdanum are rich and dark. They both deepen and soften the other star note of the composition, the smoldering frankincense. Full of character and darkly seductive, Incense Rose will be irresistible for the lovers of incense genre and fans of sumptuous, resinous blends.","clementine, bergamot, castor, rose, orris, cedarwood, incense, labdanum, myrrh, patchouli, ambergris",https://static.luckyscent.com/images/products/31408.jpg?width=400&404=product.png,beautiful thing experience mysterious' said einstein andy tauer's new creation incense rose brings feeling awe wonder lives built upon contrast fiery frankincense sweet rose masculine feminine night day mesmerizing blend deep sensual citrus notes hint cardamom lend rose ripe spicy quality whereas orris gives scent effervescent sparkling feel woody balsamic notes cedar vetiver patchouli myrrh labdanum rich dark deepen soften star note composition smoldering frankincense full character darkly seductive incense rose irresistible lovers incense genre fans sumptuous resinous blends,"clementine, bergamot, castor, rose, orris, cedarwood, incense, labdanum, myrrh, patchouli, ambergris"
Patchouli Leaves Eau de Parfum,Montale,"There is nothing more comforting and luxurious than a warm, soft patchouli fragrance. We are mad about the note and fancy ourselves as patchouli connoisseurs, so do believe us when we say that Montale's rendition is perhaps the most wonderful patchouli scent we know. Labdanum and woods give patchouli complexity and glorious dark depth, and vanilla provides a mesmerizing contrast to the earthy sharpness of the star note and makes the fragrance enveloping and warm. These are patchouli leaves wrapped in the softest and the most expensive of cashmeres, brought in oak trunks from exotic faraway lands...a dreamy and sensual perfume, as striking as it is easy to wear.","patchouli, oak, vanilla, amber, white musk, cystus ladaniferus",https://static.luckyscent.com/images/products/35431.jpg?width=400&404=product.png,nothing comforting luxurious warm soft patchouli fragrance mad note fancy patchouli connoisseurs believe us say montale's rendition perhaps wonderful patchouli scent know labdanum woods give patchouli complexity glorious dark depth vanilla provides mesmerizing contrast earthy sharpness star note makes fragrance enveloping warm patchouli leaves wrapped softest expensive cashmeres brought oak trunks exotic faraway lands dreamy sensual perfume striking easy wear,"patchouli, oak, vanilla, amber, white musk, cystus ladaniferus"
Absinth Parfum Extrait,Nasomatto,"""The fragrance aims to evoke degrees of hysteria. The result of a quest to stimulate irresponsible behavior."" The Nose.
Absinth is a wild tumble of earthy browns, woody greens, and dry, bitter herbs, a rare fragrance that you smell and you immediately think of colors. Loamy earth is soon joined by a soft, warm sweetness that seems to appears to be like the ground of a tree-ringed meadow after the first rain of spring. The smell of the earth, the sweet notes of rainand the tinge of young greens and florals not yet in full bloom are all here. Absolutely captivating and more than a little haunting, Absinth captures that bittersweet moment when the earth is about to wake up from its winter slumber. It's an addictive, I-need-to-smell-it-all-day kind of perfume, the kind you make sure to put on your wrists or a dab on a leather watchband just so you can partake in its earthy delights.","spicy, woody, wormwood, vetiver, green notes",https://static.luckyscent.com/images/products/41000.jpg?width=400&404=product.png,fragrance aims evoke degrees hysteria result quest stimulate irresponsible behavior nose absinth wild tumble earthy browns woody greens dry bitter herbs rare fragrance smell immediately think colors loamy earth soon joined soft warm sweetness seems appears like ground tree ringed meadow first rain spring smell earth sweet notes rainand tinge young greens florals yet full bloom absolutely captivating little haunting absinth captures bittersweet moment earth wake winter slumber addictive need smell day kind perfume kind make sure put wrists dab leather watchband partake earthy delights,"spicy, woody, wormwood, vetiver, green notes"
Narcotic V Parfum Extrait,Nasomatto,"""The fragrance is the result of a quest for the overwhelming addictive intensity of female sexual power."" The Nose.
Well, now! How can we top that? Narcotic V is indeed intensely feminine, a no-holds-barred buttery and sweetly rich tuberose. It isn't cutesy or giggly...it plants one high heeled foot down on the ground and announces its presence with a flourish. There are very few fragrances we'd label absolute and total mankillers, and this is one of them. It doesn't apologize for its outright femininity or try to hide it...it's out there, one hip thrust out, chin in the air, eyes flashing and celebrating the devastating beauty of the sweet, white tropical flowers that inhabit it.","floral, spicy, tuberose, jasmine, lily, spices",https://static.luckyscent.com/images/products/41001.jpg?width=400&404=product.png,fragrance result quest overwhelming addictive intensity female sexual power nose well top narcotic v indeed intensely feminine holds barred buttery sweetly rich tuberose cutesy giggly plants one high heeled foot ground announces presence flourish fragrances we'd label absolute total mankillers one apologize outright femininity try hide one hip thrust chin air eyes flashing celebrating devastating beauty sweet white tropical flowers inhabit,"floral, spicy, tuberose, jasmine, lily, spices"
Silver Musk Parfum Extrait,Nasomatto,"""The fragrance aims to evoke superhero magnetism.The result of a quest for mercurial liquid love sensation."" The Nose.
Silver Musk is a quintessential your-skin-but-better scent. There's nothing about it that calls to mind flowers or forests or tropical breezes or anything but exactly what you'd want your flushed skin to smell like, fresh out of a shower. It's subtle but not weak, a softly clean, gently warm scent that may seem easy to pull off in a perfume but is surprisingly tough. How do you create a perfume that smells like you'd want your skin to smell like without perfume? How do you make people think of freshly cleaned skin rather than the individual ingredients that make up a fragrance? The answers to these questions are all in Silver Musk. It's a perfect skin musk that has a huge appeal due to its subtle, sensual nature. It never tries...it just is. Utter perfection, and if everyone smelled like this naturally, we'd be out of business.",musk,https://static.luckyscent.com/images/products/41003.jpg?width=400&404=product.png,fragrance aims evoke superhero magnetism result quest mercurial liquid love sensation nose silver musk quintessential skin better scent there's nothing calls mind flowers forests tropical breezes anything exactly want flushed skin smell like fresh shower subtle weak softly clean gently warm scent may seem easy pull perfume surprisingly tough create perfume smells like want skin smell like without perfume make people think freshly cleaned skin rather individual ingredients make fragrance answers questions silver musk perfect skin musk huge appeal due subtle sensual nature never tries utter perfection everyone smelled like naturally we'd business,musk
Duro Parfum Extrait,Nasomatto,"""The fragrance aims to enhance all the manifestations of male strength."" The Nose.
If there is a male equivalent to Nasomatto's unabashedly feminine Narcotic V, it's Duro. Duro is bold and potent and calls to mind ancient hardwoods spiked with leather. It's untamed and virile, a raw and gorgeous fragrance that doesn't give a damn about smelling pretty or frou frou or like a vase of flowers...like its counterpart, it revels in its masculinity and doesn't give a flip what you think about it. It wouldn't take kindly to being labeled unisex; it's made for a man and there's definitely something about it that screams to life on male skin. Carnal and classy with a modern, crisp edge, Duro makes a statement (and puts an exclamation point on the end) â it's elegant yet carnal and very, very sexy.","leather, spices, woody",https://static.luckyscent.com/images/products/41004.jpg?width=400&404=product.png,fragrance aims enhance manifestations male strength nose male equivalent nasomatto's unabashedly feminine narcotic v duro duro bold potent calls mind ancient hardwoods spiked leather untamed virile raw gorgeous fragrance give damn smelling pretty frou frou like vase flowers like counterpart revels masculinity give flip think take kindly labeled unisex made man there's definitely something screams life male skin carnal classy modern crisp edge duro makes statement puts exclamation point end elegant yet carnal sexy,"leather, spices, woody"
Incense extreme Eau de Parfum,Tauer Perfumes,"If you crave a a deep and soulful incense, one that is pushes the boundaries of our incense offerings thus far, you will absolutely revel in Andy Tauer's much anticipated new creation. Incense Extreme is a complex, moving and wonderfully comforting. In fact, imagine all things you love about incense perfumes, and they are all here in this amazing new release. The powerful impact of rich, deep frankincense is strengthened by the presence of spices and ambergris. The fiery piquancy of coriander and the sweet ambery undertone, which are to us Tauer's signature in perfume, are the characteristics that make this incense Extreme. Having said that, the fragrance is neither too heavy nor too forceful. It has an unexpectedly airy, uplifting quality that we adore and the warm softness that makes it such a perfect comfort scent. A definitive incense perfume, for the lovers of the incense genre and the fans of Andy Tauer's talent.","incense, spices, powdery orris, cedarwood, ambergris, frankincense",https://static.luckyscent.com/images/products/31407.jpg?width=400&404=product.png,crave deep soulful incense one pushes boundaries incense offerings thus far absolutely revel andy tauer's much anticipated new creation incense extreme complex moving wonderfully comforting fact imagine things love incense perfumes amazing new release powerful impact rich deep frankincense strengthened presence spices ambergris fiery piquancy coriander sweet ambery undertone us tauer's signature perfume characteristics make incense extreme said fragrance neither heavy forceful unexpectedly airy uplifting quality adore warm softness makes perfect comfort scent definitive incense perfume lovers incense genre fans andy tauer's talent,"incense, spices, powdery orris, cedarwood, ambergris, frankincense"
