Name,Brand,Description,Notes,Image URL,Description_clean,Notes_clean
Tihota Eau de Parfum,Indult,"Rapa Nui for sugar, Tihota is, quite simply, The One. The One that will call to you every moment you're not smelling it, The One that you've only had hints of in other vanilla perfumes, The One that lasts and lasts, The One that has perfectly captured the essence of the pure nature of fresh vanilla beans and has harnessed it beyond your wildest dreams. It inspires obsessive devotion with its fragrance of smooth, vanilla bean pods dipped in honeyed water and left to steep. The result is the pure magic, an unbridled vanilla, sweet, raw and achingly desirable. Of course, Tihota isn't the first perfume to focus on the dark sweetness of vanilla... perfumery is filled with vanillas, but this smells like the dream of a master perfumer who was obsessed with vanilla and was finally given free rein to worship the note with no apologies. It is, without a sliver of a doubt, the finest pure vanilla we've ever had the honor of carrying, and it's so beautiful it pains us to put the bottle down.","vanilla bean, musk",https://static.luckyscent.com/images/products/37401.jpg?width=400&404=product.png,rapa nui sugar tihota quite simply one one call every moment smelling one hints vanilla perfumes one lasts lasts one perfectly captured essence pure nature fresh vanilla beans harnessed beyond wildest dreams inspires obsessive devotion fragrance smooth vanilla bean pods dipped honeyed water left steep result pure magic unbridled vanilla sweet raw achingly desirable course tihota first perfume focus dark sweetness vanilla perfumery filled vanillas smells like dream master perfumer obsessed vanilla finally given free rein worship note apologies without sliver doubt finest pure vanilla we've ever honor carrying beautiful pains us put bottle,"vanilla bean, musk"
Sola Parfum,Di Ser,"A tribute to the expanse of space extending from the sky to the flower and fruit laden earth below, Sola, the newest offering from DI SER and perfumer Yasuyuki Shinohara, showcases the natural flora of Hokkaido, Japan with locally sourced and sustainably harvested ingredients from DI SERs own gardens. Starting with aromatic notes of freshly harvested Hokkaido lavender, lemongrass and yuzu, the uplifting scent moves to a floral middle of Japanese rose, magnolia, geranium and jasmine before settling on a spiritual bed of frankincense and myrrh. The spiritual and meditative scent evokes an imagery of a peaceful universe in complete harmony with the bounties of nature and of peace and contentment with its generous offerings.","lavender, yuzu, lemongrass, magnolia, geranium, jasmine, frankincense, myrrh",https://static.luckyscent.com/images/products/788011.jpg?width=400&404=product.png,tribute expanse space extending sky flower fruit laden earth sola newest offering di ser perfumer yasuyuki shinohara showcases natural flora hokkaido japan locally sourced sustainably harvested ingredients di sers gardens starting aromatic notes freshly harvested hokkaido lavender lemongrass yuzu uplifting scent moves floral middle japanese rose magnolia geranium jasmine settling spiritual bed frankincense myrrh spiritual meditative scent evokes imagery peaceful universe complete harmony bounties nature peace contentment generous offerings,"lavender, yuzu, lemongrass, magnolia, geranium, jasmine, frankincense, myrrh"
Kagiroi Parfum,Di Ser,"An aromatic ode to the ancient beauty of Japan, Kagiroi represents the changes in the shade of the dawn sky over the mountains of Hokkaido, Japan. As the dawn sky transitions through shades of purple, yellow, orange and red, this scent that showcases many ingredients used for the first time in perfumery transitions from an aromatic slightly spicy top to an earthy and woody base, representing the ebb and flow in the stages of life. The perfume opens with notes of Japanese herbs and citruses, moves to a slightly floral spicy middle and settles into a deep woody base accentuated by the use of the Hinoki cedar that dot the mountain landscapes. A deeply personal and spiritual scent, Kagiroi is a scent of shifting aromatic complexities representing transitions in the journey of life.Parfum Edition: We are honored and delighted to offer the rare and precious Parfum edition of Kagiroi, which adds to the composition a precious specimen of Japanese agarwood, which adds rich, spiritual dimensionality and a truly impressive and long-lasting drydown to this already complex and wonderful scent.","green yuzu, green shikuwasa, sansho seed, coriander, ylang-ylang, shiso, rosewood, vetiver, hinoki, cypriol, patchouli, agarwood",https://static.luckyscent.com/images/products/788012.jpg?width=400&404=product.png,aromatic ode ancient beauty japan kagiroi represents changes shade dawn sky mountains hokkaido japan dawn sky transitions shades purple yellow orange red scent showcases many ingredients used first time perfumery transitions aromatic slightly spicy top earthy woody base representing ebb flow stages life perfume opens notes japanese herbs citruses moves slightly floral spicy middle settles deep woody base accentuated use hinoki cedar dot mountain landscapes deeply personal spiritual scent kagiroi scent shifting aromatic complexities representing transitions journey life parfum edition honored delighted offer rare precious parfum edition kagiroi adds composition precious specimen japanese agarwood adds rich spiritual dimensionality truly impressive long lasting drydown already complex wonderful scent,"green yuzu, green shikuwasa, sansho seed, coriander, ylang-ylang, shiso, rosewood, vetiver, hinoki, cypriol, patchouli, agarwood"
Velvet Fantasy Eau de Parfum,Montale,"Velvet Fantasy is a solar fragrance where citrus and velvety fruits mingle with the elegance of rose and the gourmand femininity of violet. Thereafter, incense unveils amber and white musk to create a bewitching and wild dance. What We Think A sweet and fruity fragrance with a rich long lasting warmth. Like a decadent dessert, it starts off bringing together the bright freshness of the tangerine with some sweet berry and apple notes and the creaminess of the toffee and vanilla. The fragrance smoothly transitions into a deliciously bold blend of amber, leather, sweet vanilla and creamy woods. Absolutely mouthwatering.","tangerine, pink pepper, black coffee, leather, violet, jasmine, lily of the valley, heliotrope powder, vanilla, amber, sandalwood, toffee, musk, oakmoss",https://static.luckyscent.com/images/products/354013.jpg?width=400&404=product.png,velvet fantasy solar fragrance citrus velvety fruits mingle elegance rose gourmand femininity violet thereafter incense unveils amber white musk create bewitching wild dance think sweet fruity fragrance rich long lasting warmth like decadent dessert starts bringing together bright freshness tangerine sweet berry apple notes creaminess toffee vanilla fragrance smoothly transitions deliciously bold blend amber leather sweet vanilla creamy woods absolutely mouthwatering,"tangerine, pink pepper, black coffee, leather, violet, jasmine, lily valley, heliotrope powder, vanilla, amber, sandalwood, toffee, musk, oakmoss"
A Blvd. Called Sunset Eau de Parfum,A Lab on Fire,"There's no way A Lab On Fire could relocate to Los Angeles and not pay tribute to L.A.'s most iconic Boulevard, home to the legendary neon-drenched rock stages of the Strip, the crashing waves of the Palisades, and everything in between. The result is A Blvd. Called Sunset, a bright, fresh, just the right amount of edgy journey across our wild and beautiful city. Bright, fresh bergamot sparkles in a smooth, salty, almond-inflected breeze, while a masculine leaning-floral blend of violet and jasmine combines with a leather that evokes the biker bars and metal clubs so famously captured in Ed Ruscha's seminal photo book. A smooth, intoxicating base of sandalwood, vanilla, and tonka goes down like a perfect mixed drink, comforting and sensual all at once. If you ever get a chance to take a trip down Sunset, there's nothing like it in the world. But the next best thing is a day spent wearing A Blvd. Called Sunset- a perfect tribute to the heart and soul of Los Angeles.","bergamot, almond, violet, jasmine, leather, sandalwood, vanilla, tonka",https://static.luckyscent.com/images/products/56719.jpg?width=400&404=product.png,there's way lab fire could relocate los angeles pay tribute l 's iconic boulevard home legendary neon drenched rock stages strip crashing waves palisades everything result blvd called sunset bright fresh right amount edgy journey across wild beautiful city bright fresh bergamot sparkles smooth salty almond inflected breeze masculine leaning floral blend violet jasmine combines leather evokes biker bars metal clubs famously captured ed ruscha's seminal photo book smooth intoxicating base sandalwood vanilla tonka goes like perfect mixed drink comforting sensual ever get chance take trip sunset there's nothing like world next best thing day spent wearing blvd called sunset perfect tribute heart soul los angeles,"bergamot, almond, violet, jasmine, leather, sandalwood, vanilla, tonka"
Freckled and Beautiful Eau de Parfum,A Lab on Fire,"There's no beauty quite like being young in the City of Angels- the wind in your hair, the sand between your toes, the endless possibilities for freedom and adventure in a sun-dappled, ocean-kissed paradise where the days never end and anything is possible. Freckled and Beautiful is a perfect tribute to the beauty of youth in L.A., a warm and hazy beachside floral with an unforgettable gourmand touch. It's a fragrance that highlights everything that makes A Lab On Fire Great- creamy, romantic orange blossom, the unmistakable tang of salty ocean air, and a mouthwatering and unique gourmand component- in this case, a warm milk and Petit-Beurre pastry accord that comforts and nourishes like the perfect after-school snack. Delicious and delightful, Freckled and Beautiful captures the unique jubilation of youth, and is a must-try for all lovers of A Lab on Fire's gift for floral gourmands.","orange flower, neroli, honeysuckle, warm milk, pastry, salicylates, sandalwood, vanilla bean, heliotrope",https://static.luckyscent.com/images/products/56720.jpg?width=400&404=product.png,there's beauty quite like young city angels wind hair sand toes endless possibilities freedom adventure sun dappled ocean kissed paradise days never end anything possible freckled beautiful perfect tribute beauty youth l warm hazy beachside floral unforgettable gourmand touch fragrance highlights everything makes lab fire great creamy romantic orange blossom unmistakable tang salty ocean air mouthwatering unique gourmand component case warm milk petit beurre pastry accord comforts nourishes like perfect school snack delicious delightful freckled beautiful captures unique jubilation youth must try lovers lab fire's gift floral gourmands,"orange flower, neroli, honeysuckle, warm milk, pastry, salicylates, sandalwood, vanilla bean, heliotrope"
Exit the King Eau de Parfum,Etat Libre d'Orange,"In these tumultuous times, a fragrance that celebrates destruction and dethronement might seem... risky. But Etat Libre was never about playing it safe, and Exit The King, like all their best releases, is risky in all the best ways, a you've-never-smelled-anything-quite-like-this fragrance that tears down the contours of a classical chypre to uncover a blindingly fresh, delightfully sexy new regime. An immaculate blend of contrasts: electrically overdosed florals, sparkling fresh soap foam, and the sharp green of tree moss, all set against a woodsy, milky blend of patchouli and sandalwood. It's both comfortably familiar, but thrillingly new- a modern, stylish floral that's both everyday perfect, and secret weapon good.","timur je, soap foam accord (aldehydes, musk), pink pepper, jasmine e-pure, rose superessence, lily-of-the-valley accord, patchouli, moss absolute, sandalwood accord, orcanox",https://static.luckyscent.com/images/products/477053.jpg?width=400&404=product.png,tumultuous times fragrance celebrates destruction dethronement might seem risky etat libre never playing safe exit king like best releases risky best ways never smelled anything quite like fragrance tears contours classical chypre uncover blindingly fresh delightfully sexy new regime immaculate blend contrasts electrically overdosed florals sparkling fresh soap foam sharp green tree moss set woodsy milky blend patchouli sandalwood comfortably familiar thrillingly new modern stylish floral that's everyday perfect secret weapon good,"timur je, soap foam accord (aldehydes, musk), pink pepper, jasmine e-pure, rose superessence, lily-of-the-valley accord, patchouli, moss absolute, sandalwood accord, orcanox"
Eshu Extrait,PRIN,"Eshu, the mischievous god of Yoruba legend, who translates between the gods and all the peoples of earth. Eshu, a groundbreaking 2000 Fall/Autumn collection from the late Alexander McQueen, which inspired Prin Lomros to create this scent. Eshu, the fragrance, a universally fluent dialogue between rich, earthy tobacco, fiery spices, sweet cognac, and touches of animalics, woods, and musk. The synthesis is surprisingly smooth, a powerful yet utterly wearable boozy tobacco with intense, sophisticated resin and spice tones, distinctive and unforgettable. An ingenious juxtaposition of traditional tribal elements and modern twists, Eshu is not to be missed.","tobacco, hay, elemi, copaiba, olibanum, nutmeg, black pepper, castoreum, cedar, oakmoss, cognac, ambroxan, norlimbanol, cinnamon, cumin seed, ash",https://static.luckyscent.com/images/products/847005.jpg?width=400&404=product.png,eshu mischievous god yoruba legend translates gods peoples earth eshu groundbreaking fall/autumn collection late alexander mcqueen inspired prin lomros create scent eshu fragrance universally fluent dialogue rich earthy tobacco fiery spices sweet cognac touches animalics woods musk synthesis surprisingly smooth powerful yet utterly wearable boozy tobacco intense sophisticated resin spice tones distinctive unforgettable ingenious juxtaposition traditional tribal elements modern twists eshu missed,"tobacco, hay, elemi, copaiba, olibanum, nutmeg, black pepper, castoreum, cedar, oakmoss, cognac, ambroxan, norlimbanol, cinnamon, cumin seed, ash"
Saringkarn Extrait,PRIN,"A taste of love and seduction. The value of love between lover, friend and family and humanity. A taste of happiness. Saringkarn, a tribute to the traditional and ancient Thai form of literary composition, is a tantalizing and unique scent somewhere between gourmand, floral, and oriental, where dark and sensual tones of oud, amber, leather, and tobacco gain an alluring, romantic sweetness from beeswax, dark chocolate, and a bouquet of exquisite roses. Sweet, boozy prune gives a cognac-like richness, while a darker smoke note preserves just the right amount of provocative danger. Like any true work of literary genius, it's up to you how to interpret it all.","saffron, champaca, fir balsam, beeswax, amber, damask rose, rose de mai, tobacco, leather, dark chocolate, prune, oud, musk, oakmoss, ambrette, smoke, incense, ylang-ylang",https://static.luckyscent.com/images/products/847006.jpg?width=400&404=product.png,taste love seduction value love lover friend family humanity taste happiness saringkarn tribute traditional ancient thai form literary composition tantalizing unique scent somewhere gourmand floral oriental dark sensual tones oud amber leather tobacco gain alluring romantic sweetness beeswax dark chocolate bouquet exquisite roses sweet boozy prune gives cognac like richness darker smoke note preserves right amount provocative danger like true work literary genius interpret,"saffron, champaca, fir balsam, beeswax, amber, damask rose, rose de mai, tobacco, leather, dark chocolate, prune, oud, musk, oakmoss, ambrette, smoke, incense, ylang-ylang"
Arsalan Parfum,PRIN,"The Persian legend of Arsalan is a story of a royal heir who rediscovers his hidden heritage and decides to reclaim his throne. And as would befit a fragrance based on hidden power, Arsalan is a gorgeous and richly textured floral spice scent that feels warm, lush, and romantic, but also reveals an intensely potent blend of some of the finest Southeast Asian ouds available. Beneath a bright, alluring bouquet of luscious, smooth champaca and jasmine, an intense and carnal rush of Cambodian oud and Thai Trat oud displays a multifaceted profile of sweet, warm, sensual oud tones. A bright, sparkling olibanum incense plays off of an exotic spice blend, uplifting and giving sophisticated complexity. Arsalan the prince needed a long journey before he was able to reveal his nobility, but Arsalan the fragrance is undeniably, wonderfully regal.","oud, trat oud, jasmin sambac, champaca, olibanum, turmeric, clove, caraway, cardamom, cinnamon, cumin, coriander, gardenia, opoponax, saffron, sandalwood, patchouli, musk",https://static.luckyscent.com/images/products/847007.jpg?width=400&404=product.png,persian legend arsalan story royal heir rediscovers hidden heritage decides reclaim throne would befit fragrance based hidden power arsalan gorgeous richly textured floral spice scent feels warm lush romantic also reveals intensely potent blend finest southeast asian ouds available beneath bright alluring bouquet luscious smooth champaca jasmine intense carnal rush cambodian oud thai trat oud displays multifaceted profile sweet warm sensual oud tones bright sparkling olibanum incense plays exotic spice blend uplifting giving sophisticated complexity arsalan prince needed long journey able reveal nobility arsalan fragrance undeniably wonderfully regal,"oud, trat oud, jasmin sambac, champaca, olibanum, turmeric, clove, caraway, cardamom, cinnamon, cumin, coriander, gardenia, opoponax, saffron, sandalwood, patchouli, musk"
Nocturnal Poetry Parfum,PRIN,"Who says a nightmare needs to be a bad experience? In the talented imagination of Prin Lomros, the surreal feeling that accompanies an unsettling dream is sublime inspiration. This sensation is captured to enchanting effect in Nocturnal Poetry, a lush, intoxicating floral with the spicy, animalic complexity that PRIN is known for. A cool, green and thorny bouquet of violet, champaca, and rose sits in a misty fog of incense and myrrh, kissed with sweet, earthy notes of beeswax, hay, and coffee. A dark base of oud, animalics and leather beckons with provocative mystery, but Lomros always keeps Nocturnal Poetry from becoming too unsettling- ultimately, this dreamlike floral is a journey anyone will enjoy taking.","violet, champaca, rosewood, beeswax, frankincense, myrrh, coffee bean, rose, tobacco, hay, jasmine, leather, castoreum, hyrax, civet, musk, oud, turmeric, cumin",https://static.luckyscent.com/images/products/847008.jpg?width=400&404=product.png,says nightmare needs bad experience talented imagination prin lomros surreal feeling accompanies unsettling dream sublime inspiration sensation captured enchanting effect nocturnal poetry lush intoxicating floral spicy animalic complexity prin known cool green thorny bouquet violet champaca rose sits misty fog incense myrrh kissed sweet earthy notes beeswax hay coffee dark base oud animalics leather beckons provocative mystery lomros always keeps nocturnal poetry becoming unsettling ultimately dreamlike floral journey anyone enjoy taking,"violet, champaca, rosewood, beeswax, frankincense, myrrh, coffee bean, rose, tobacco, hay, jasmine, leather, castoreum, hyrax, civet, musk, oud, turmeric, cumin"
Homa Parfum,PRIN,"Sanskrit for a sacred Hindu fire ritual, Homa is a sumptuously complex blend of spices, florals, and animalics to elevate both spirit and consciousness. Using fire as the direct messenger between humans and gods, Homa transmutes these exotic ingredients into something simultaneously rich and earthy, but also transcendent and ethereal, weaving threads of smoke, ash, ozone and incense into the fragrant blend to represent the journey of these sacred offerings into the realm of the spirits. There's more than enough sophistication to satisfy lovers of Prin's deepest, most animalic elixirs- dark oud, earthy mushroom, and (natural, cruelty-free) fossilized hyrax and goat hair lend primal intensity, but Homa is balanced with bright, sparkling airiness that make it wonderfully wearable. For those looking to commune with the heavens, Homa is a sacred ritual safe to perform anytime.","cinnamon, ginger, black pepper, cardamom, cassia, cumin, turmeric, caraway, nutmeg, clove, saffron, hay, kaffir lime, oud, galbanum, ghee butter, jasmine, champaca, tuberose, beeswax, incense, myrrh, spikenard, costus, benzoin, ash, goat hair tincture, oud, mushroom, civet, hyrax",https://static.luckyscent.com/images/products/847009.jpg?width=400&404=product.png,sanskrit sacred hindu fire ritual homa sumptuously complex blend spices florals animalics elevate spirit consciousness using fire direct messenger humans gods homa transmutes exotic ingredients something simultaneously rich earthy also transcendent ethereal weaving threads smoke ash ozone incense fragrant blend represent journey sacred offerings realm spirits there's enough sophistication satisfy lovers prin's deepest animalic elixirs dark oud earthy mushroom natural cruelty free fossilized hyrax goat hair lend primal intensity homa balanced bright sparkling airiness make wonderfully wearable looking commune heavens homa sacred ritual safe perform anytime,"cinnamon, ginger, black pepper, cardamom, cassia, cumin, turmeric, caraway, nutmeg, clove, saffron, hay, kaffir lime, oud, galbanum, ghee butter, jasmine, champaca, tuberose, beeswax, incense, myrrh, spikenard, costus, benzoin, ash, goat hair tincture, oud, mushroom, civet, hyrax"
Koala Extrait de Parfum,Zoologist,"A cloak of rich green velvet sweeps across the Australian horizon, the majestic eucalypt forest flattering every curve of the undulating landscape. Tucked high in the crook of a tree, the koala is oblivious to the mesmerizing views. It would rather curl into a ball and sleep off a feast of oily eucalyptus, the aromatic leaves that sustain it. Despite their sleepy demeanour and friendly expression, koalas are territorial creatures. Males mark the soaring trunks with their musk, establishing their dominance.
Zoologist Koala opens with an invigorating blend of lemony honey and the sweet aroma of eucalyptus. They float above a blanket of black tea and spices, then draw you even deeper into musky amber and woods. The result is a unique and carefree scent that snuggles in around you, enveloping you in an embrace both playful and independent.","eucalyptus, menthol honey gumdrops, mimosa, black tea, geranium, incense, spices, vetiver, musk, amber, oakmoss, vanilla, sandalwood",https://static.luckyscent.com/images/products/76028.jpg?width=400&404=product.png,cloak rich green velvet sweeps across australian horizon majestic eucalypt forest flattering every curve undulating landscape tucked high crook tree koala oblivious mesmerizing views would rather curl ball sleep feast oily eucalyptus aromatic leaves sustain despite sleepy demeanour friendly expression koalas territorial creatures males mark soaring trunks musk establishing dominance zoologist koala opens invigorating blend lemony honey sweet aroma eucalyptus float blanket black tea spices draw even deeper musky amber woods result unique carefree scent snuggles around enveloping embrace playful independent,"eucalyptus, menthol honey gumdrops, mimosa, black tea, geranium, incense, spices, vetiver, musk, amber, oakmoss, vanilla, sandalwood"
L'Homme A La Rose Eau de Parfum,Maison Francis Kurkdjian,"Francis Kurkdjian has a talent for making masculines that balance French sophistication with modern style- classic enough to impress, cool enough to wear anywhere. And while he's already given men a sultry, evening rose with Lumiere Noire, his newest release reinvents the masculine rose as a fresh, bright, all-day sexy stunner. L'Homme A La Rose doesn't lack for floral strength, as it's built around a dynamic pair of two of the world's most renowned roses: deep, sweet Damask roses from Bulgaria, and smooth, fresh Centifolia rose from Grasse. A fruity, zesty grapefruit accord accentuates the floral roundness, while a dynamic ambery wood accord blends with aromatic sage for a contemporary, distinctive signature. A rose that any man will want atop his wardrobe, L'Homme A La Rose is a new standard for masculine florals.","grapefruit, damascene rose, amber woods accord, sage, centifolia rose, labdanum",https://static.luckyscent.com/images/products/49890.jpg?width=400&404=product.png,francis kurkdjian talent making masculines balance french sophistication modern style classic enough impress cool enough wear anywhere he's already given men sultry evening rose lumiere noire newest release reinvents masculine rose fresh bright day sexy stunner l'homme la rose lack floral strength built around dynamic pair two world's renowned roses deep sweet damask roses bulgaria smooth fresh centifolia rose grasse fruity zesty grapefruit accord accentuates floral roundness dynamic ambery wood accord blends aromatic sage contemporary distinctive signature rose man want atop wardrobe l'homme la rose new standard masculine florals,"grapefruit, damascene rose, amber woods accord, sage, centifolia rose, labdanum"
Rozu Eau de Parfum,Aesop,"The beauty of Aesop fragrances lies in their ability to elegantly balance between sophistication and naturalism- an Aesop scent is gorgeously refined, yet possessed with an unmistakable and primal connection to the raw materials from which it was created. So it shouldn't surprise anyone to hear that their foray into rose scents is no delicate young flower, but a lush, gorgeously green wild rose with vibrant shiso accords, woods and spice, and a light touch of sophisticated smoke. The rose note is sumptuously romantic, with enough floral fullness to make any rose lover swoon, but the eastern influence of the aromatics and guaiac wood impart a soulful spirituality that set Rozu apart. A beautiful floral that's every bit an Aesop scent, Rozu is a must try for rose lovers.","rose, shiso, guaiac",https://static.luckyscent.com/images/products/30156.jpg?width=400&404=product.png,beauty aesop fragrances lies ability elegantly balance sophistication naturalism aesop scent gorgeously refined yet possessed unmistakable primal connection raw materials created surprise anyone hear foray rose scents delicate young flower lush gorgeously green wild rose vibrant shiso accords woods spice light touch sophisticated smoke rose note sumptuously romantic enough floral fullness make rose lover swoon eastern influence aromatics guaiac wood impart soulful spirituality set rozu apart beautiful floral that's every bit aesop scent rozu must try rose lovers,"rose, shiso, guaiac"
Champs Lunaires Eau de Toilette,Rogue Perfumery,"An intangible summer night; Moonlit fields of white flowers. Inspired by Serge Lutens' Tubereuse Crimenelle, and the lusty creamy fruit notes of Piguet's Fracas, Champs Lunaires, was an intense journey for perfumer Manuel Cross, a personal challenge to create a tuberose of satisfying balance -- indolic, green, buttery, creamy, realistic, uplifting.","tuberose, white rose petals, pomelo, sandalwood, coconut milk, musk",https://static.luckyscent.com/images/products/838010.jpg?width=400&404=product.png,intangible summer night moonlit fields white flowers inspired serge lutens' tubereuse crimenelle lusty creamy fruit notes piguet's fracas champs lunaires intense journey perfumer manuel cross personal challenge create tuberose satisfying balance indolic green buttery creamy realistic uplifting,"tuberose, white rose petals, pomelo, sandalwood, coconut milk, musk"
Prends-Moi Eau de Parfum,Isabey,"Take me.It's a bold and forward statement in any era, and in the early 1930's, when Isabey first released Prends-Mois (as it was called then), it was shockingly controversial- and highly coveted. Now, the iconic scent has been relaunched as Prends-Moi, and we're pleased to report the fragrance housed in the emblematic red bottle has every bit of the passionate romanticism that turned heads almost a century before. Prends-Moi opens with a fiery spark of pink pepper, leading to a lush and daring contrast of florals in the heart- a light, innocent rose intertwined with bold, unapologetically carnal tuberose. The powdered elegance of lipstick is balanced against an almost animalic cocoa, representing a seduction both sophisticated and primal. Erotic, romantic, and classic, Prends-Moi is everything French perfume should be.","bergamot, pink pepper, raspberry, rose, red satin lipstick, tuberose, cardamom, iris, cocoa, sandalwood, amber",https://static.luckyscent.com/images/products/27110.jpg?width=400&404=product.png,take bold forward statement era early 's isabey first released prends mois called shockingly controversial highly coveted iconic scent relaunched prends moi we're pleased report fragrance housed emblematic red bottle every bit passionate romanticism turned heads almost century prends moi opens fiery spark pink pepper leading lush daring contrast florals heart light innocent rose intertwined bold unapologetically carnal tuberose powdered elegance lipstick balanced almost animalic cocoa representing seduction sophisticated primal erotic romantic classic prends moi everything french perfume,"bergamot, pink pepper, raspberry, rose, red satin lipstick, tuberose, cardamom, iris, cocoa, sandalwood, amber"
Eau de Cuisine Eau de Parfum,Hilde Soliani,"We've always known Hilde Soliani makes the most mouthwatering sweet scents out there, but being ""The Queen Of Gourmand"" doesn't begin and end with dessert. Eau de Cuisine, her tribute to longtime friend and renowned modern Italian chef Paolo Lo Priore, is a glorious main course of a fragrance, a spicy, savory, salty feast for the senses. A tribute to Chef Paolo's signature ""cucina convivale"" tasting experience, which emphasizes experimentation and creativity, this scent is a wonderful combination of flavors- the aquatic brine of the ocean, the sweetness of apricot and almond, the creaminess of fresh dairy, and a captivating melange of aromatic herbs and spices. It's a scent both bright and rich, lively and decadent, sure to appeal to lovers of aquatics, orientals, and gourmands alike. In other words, it's as unique as Hilde Soliani herself- not to mention her equally impressive foodie friends.","ocean, apricot, almond, fresh dairy, aromatic herbs, spices",https://static.luckyscent.com/images/products/46643.jpg?width=400&404=product.png,we've always known hilde soliani makes mouthwatering sweet scents queen gourmand begin end dessert eau de cuisine tribute longtime friend renowned modern italian chef paolo lo priore glorious main course fragrance spicy savory salty feast senses tribute chef paolo's signature cucina convivale tasting experience emphasizes experimentation creativity scent wonderful combination flavors aquatic brine ocean sweetness apricot almond creaminess fresh dairy captivating melange aromatic herbs spices scent bright rich lively decadent sure appeal lovers aquatics orientals gourmands alike words unique hilde soliani mention equally impressive foodie friends,"ocean, apricot, almond, fresh dairy, aromatic herbs, spices"
Disobbedienza Eau de Parfum,Hilde Soliani,"Disobedience does not have to be a bad thing. In the talented and unrestricted artistic imagination of a perfumer like Hilde Soliani, it represents risk-tasking, freedom, and creative liberation. Inspired by her time performing experimental theater, Disobbedienza is an olfactive tribute to blazing one's own path in the face of stultifying conformity. There are notes chosen for their symbolism- a black, rare rose, both dark and romantic; smoky, mysterious ash to represent the phoenix-like cycle of destruction and rebirth; and, as befitting the Queen of Gourmand, a sweet and spicy opening with the tantalizing fizz of fine champagne. As with many of Hilde's most distinctive and compelling offerings, Disobbedienza rejects easy categorization, and yet it's as wonderfully easy to wear as any of her magical creations. Break away from conformity- lose yourself in the whimsical, bold, and iconoclastic world of Disobbedienza today.","black rose, ash, champagne",https://static.luckyscent.com/images/products/46644.jpg?width=400&404=product.png,disobedience bad thing talented unrestricted artistic imagination perfumer like hilde soliani represents risk tasking freedom creative liberation inspired time performing experimental theater disobbedienza olfactive tribute blazing one's path face stultifying conformity notes chosen symbolism black rare rose dark romantic smoky mysterious ash represent phoenix like cycle destruction rebirth befitting queen gourmand sweet spicy opening tantalizing fizz fine champagne many hilde's distinctive compelling offerings disobbedienza rejects easy categorization yet wonderfully easy wear magical creations break away conformity lose whimsical bold iconoclastic world disobbedienza today,"black rose, ash, champagne"
Vanille de Tahiti Eau de Parfum,Perris Monte Carlo,"Native to Central America, the plant of vanilla belongs to orchid family and grows in the humid tropical forests. The most vibrant of all the varieties is the Tahitensis. This vanilla is not extracted with solvents, but through a more natural and less invasive process, known as CO2 supercritical. This process preserves all the aromatic facets of its profile and ensures an extract of the highest purity. The captivating aroma of this powerful and exotic raw material brings to life the soft texture of the vanilla pod.
Vanille de Tahiti is a symphony of warm, exotic and gentle sweet notes. An enveloping vanilla enriched with floral notes of ylang ylang and champaka, while enchanting warm notes of amber mingle with musk and sandalwood.","absolute ylang-ylang, absolute champaca, vanilla tahiti co2, amber, sandalwood, musk",https://static.luckyscent.com/images/products/702055.jpg?width=400&404=product.png,native central america plant vanilla belongs orchid family grows humid tropical forests vibrant varieties tahitensis vanilla extracted solvents natural less invasive process known co supercritical process preserves aromatic facets profile ensures extract highest purity captivating aroma powerful exotic raw material brings life soft texture vanilla pod vanille de tahiti symphony warm exotic gentle sweet notes enveloping vanilla enriched floral notes ylang ylang champaka enchanting warm notes amber mingle musk sandalwood,"absolute ylang-ylang, absolute champaca, vanilla tahiti co2, amber, sandalwood, musk"
Gris Charnel Eau de Parfum,BDK Parfums,"Quai Saint-Bernard, near the Jardin des Plantes, the first couples arrive at the Tino-Rossi garden. As the night falls, the number of dancers increases and the bleachers fill up. Under the silver moon and the lights of the tourist barges that criss-cross the quay a few meters away, the bodies mingle to the rhythm of the music. It is then that two glances cross paths. A discreet invitation brings them to the center of the track. As if they were carried away, they dance in the heat of the night. From this hand-to-hand seduction punctuated by knowing smiles, they end up slipping away to give free flow to more carnal desires. In the early morning, the sheets give off a scent of sleepless nights, mischievous and lascivious embraces.","fig, black tea, cardamom essence, absolute iris, bourbon, vetiver, sandalwood, absolute tonka bean",https://static.luckyscent.com/images/products/856003.jpg?width=400&404=product.png,quai saint bernard near jardin des plantes first couples arrive tino rossi garden night falls number dancers increases bleachers fill silver moon lights tourist barges criss cross quay meters away bodies mingle rhythm music two glances cross paths discreet invitation brings center track carried away dance heat night hand hand seduction punctuated knowing smiles end slipping away give free flow carnal desires early morning sheets give scent sleepless nights mischievous lascivious embraces,"fig, black tea, cardamom essence, absolute iris, bourbon, vetiver, sandalwood, absolute tonka bean"
